	url	title
325	/wiki/Battle_of_Beth_Zur	Battle of Beth Zur
326	/wiki/Battle_of_Beth_Zachariah	Battle of Beth Zachariah
327	/wiki/Battle_of_Adasa	Battle of Adasa
328	/wiki/Battle_of_Elasa	Battle of Elasa
329	/wiki/Battle_of_Pydna_(148_BC)	Battle of Pydna (148 BC)
330	/wiki/Battle_of_Carthage_(c.149_BC)	Battle of Carthage (c.149 BC)
331	/wiki/Battle_of_Corinth_(146_BC)	Battle of Corinth (146 BC)
332	/wiki/Battle_of_Antioch_(145_BC)	Battle of Antioch (145 BC)
333	/wiki/Siege_of_Numantia	Siege of Numantia
334	/wiki/Battle_of_Mayi	Battle of Mayi
335	/wiki/Battle_of_Ecbatana	Battle of Ecbatana
336	/wiki/Battle_of_Mobei	Battle of Mobei
337	/wiki/Battle_of_Noreia	Battle of Noreia
338	/wiki/Battle_of_the_Muthul	Battle of the Muthul
339	/wiki/Battle_of_Loulan	Battle of Loulan
340	/wiki/Battle_of_Arausio	Battle of Arausio
341	/wiki/Battle_of_Aquae_Sextae	Battle of Aquae Sextae
342	/wiki/Battle_of_Vercellae	Battle of Vercellae
343	/wiki/Battle_of_Fucine_Lake	Battle of Fucine Lake
344	/wiki/Battle_of_Asculum_(89_BC)	Battle of Asculum (89 BC)
345	/wiki/Battle_of_the_River_Amnias	Battle of the River Amnias
346	/wiki/Battle_of_Mount_Scorobas	Battle of Mount Scorobas
347	/wiki/Siege_of_Athens_and_Piraeus_(87_BC_-_86_BC)	Siege of Athens and Piraeus (87 BC - 86 BC)
348	/wiki/Battle_of_Tenedos	Battle of Tenedos
349	/wiki/Battle_of_Chaeronea_(86_BC)	Battle of Chaeronea (86 BC)
350	/wiki/Battle_of_Orchomenus	Battle of Orchomenus
351	/wiki/Battle_of_Mount_Tifata	Battle of Mount Tifata
352	/wiki/Battle_of_the_Colline_Gate_(82_BC)	Battle of the Colline Gate (82 BC)
353	/wiki/Battle_of_the_Baetis_River	Battle of the Baetis River
354	/wiki/Battle_of_Cyzicus_(74_BC)	Battle of Cyzicus (74 BC)
355	/wiki/Battle_of_Cabira	Battle of Cabira
356	/wiki/Battle_of_Tigranocerta	Battle of Tigranocerta
